,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in,,,,,,,1,1
553,13.494,608.98926,2-Amino-5-cyano-6-(4-chlorophenyl)-4-methylsulfanyl-1-(4-bromophenyl)pyridinium 3-ylphenylphosphinic acid diisopropyl ester tetrafluoroborate,,,,592.95776,,,C25 H27 B Br Cl F4 N3 O3 P S,,,,,,,,,,,,,,,,,,,,,0.959,100,794,2333,,,,845292,484610,1853699,3057087,1289796,2288545,,,915,920714,879446,877937,935885,6111270,4910197,1318892,1479007,1781627,574117,2145510,,,,,,
554,13.501,237.07985,4-(2-hydroxyethyl)morpholin-3-one,,,,224.23729,,,C6 H11 N O3,,,,,,,,,,,,,,,,,,,,,0.855,81.9,635,2334,,,,999,615196,282215,980,115988,77527,,234,1316,,2198,1942,296534,96110,132877,62030,14433,15306,,,,,,,,
555,13.521,215.08606,Peak@13.521,,,,127.07536,,,,,,,,,,,,,,,,,,,,,,,,0,,,2338,,,,34957,1321452,45977,589443,306647,293003,214,,,77650,85072,164044,337514,1786412,1599014,27146,21854,36424,35208,189789,,,,,,
556,13.525,269.39249,Peak@13.529,,,,199.11174,,,,,,,,,,,,,,,,,,,,,,,,0,,,2339,,,,17475,855,3094,2514,3745,36494,,299,,140212,97015,112591,47708,15615,43460,10510,6976,14081,31457,30149,,,,,,
557,13.534,258.23483,1-(4-(4-Methoxyphenylthio)phenyl)ethanone,,,,243.21072,,,C15 H14 O2 S,,,,,,,,,,,,,,,,,,,,,0.72,65.7,535,2340,,,,80148,19339,58694,66940,36951,147607,,1350,,503193,86623,292018,14184,62111,151329,243240,32034,271789,263531,23375,,,,,,
558,13.574,140.1076,N-(2-hydroxyethyl)-14-methylhexadecanamide,,,,266.24777,,,C19 H39 N O2,,,,,,,,,,,,,,,,,,,,,0.962,99.3,823,2347,,,,55108,,,,60117,33021,2871,2400,13658,245350,286675,167720,42888,37802,48055,51375,48196,45589,45143,57304,,,,,,
559,13.582,269.17529,"Tetradecanoic acid, 2-hydroxy-1-(hydroxymethyl)ethyl ester",,,,44.02568,,,C17 H34 O4,,,,,,,,,,,,,,,,,,,,,0.919,99.6,604,2349,47,,,138356,7115,10301,9700,10057,,946,,757,70104,166130,,77148,36083,31439,18669,3506,8920,22164,8570,,,,,,
560,13.593,418.99582,Peak@13.589,,,,251.0589,,,,,,,,,,,,,,,,,,,,,,,,0,,,2349,,,,3256,18074,506,56833,2125,15645,,,,27376,41674,23231,41124,52942,46985,,962,,46665,34379,,,,,,
561,13.595,409.17169,Peak@13.595,,,,251.05838,,,,,,,,,,,,,,,,,,,,,,,,0,,,2350,,,,3256,18074,506,56833,2125,15645,,,,27376,41674,23231,41124,52942,46985,,962,,46665,34379,,,,,,
563,13.604,178.07826,"[5-oxo-4-(2'-methylpropyl)-2,3,4,5-tetrahydroxazol-3'-yl] fluorene-9-acetate",,,,99.04402,,,C22 H23 N O4,,,,,,,,,,,,,,,,,,,,,0.831,94,524,2352,,,,358461,418354,75462,631965,245600,207113,490,2546,7838,285480,273242,287474,205879,640511,579336,103249,72769,96598,102551,212541,,,,,,
562,13.608,237.07988,Peak@13.604,,,,182.10452,,,,,,,,,,,,,,,,,,,,,,,,0,,,2351,,,,,5809,34620,22784,21764,93952,915,1913,2728,159893,20390,174833,1234,25034,81760,178907,15405,225647,224159,6436,,,,,,
566,13.613,224.15646,"1,2-Dimethylquinolin-1-ium iodide",,,,157.10118,,,C11 H12 I N,,,,,,,,,,,,,,,,,,,,,0.579,44,512,2353,,,,160466,56800,76401,139506,53596,188495,12529,20907,17236,657511,139326,388455,35007,107660,202085,352472,32015,375231,397429,41472,,,,,,
565,13.613,220.21916,Peak@13.613,,,,165.06989,,,,,,,,,,,,,,,,,,,,,,,,0,,,2353,,,,257096,69104,150792,277498,94478,418535,23766,28865,24963,1012004,210618,839382,41487,161310,385624,847729,63890,1022647,996636,47370,,,,,,
564,13.615,353.24805,Peak@13.611,,,,165.06989,,,,,,,,,,,,,,,,,,,,,,,,0,,,2353,,,,257096,69104,150792,277498,94478,418535,23766,28865,24963,1012004,210618,839382,41487,161310,385624,847729,63890,1022647,996636,47370,,,,,,
567,13.626,299.20102,"dehydroabietic acid, 1TMS",,,,240.18277,,,C23 H36 O2 Si,,,,,,,,,,,,,,,,,,,,,0.945,98.9,747,2355,,,,851986,325440,377202,801192,344980,949095,76368,110560,95774,3523536,842687,1980452,152872,612151,989150,1462621,163008,1641514,1774813,200822,,,,,,
568,13.651,480.18747,Caprylic anhydride,,,,386.23239,,,C16 H30 O3,,,,,,,,,,,,,,,,,,,,,0.918,95.4,681,2359,481,,,60989,51745,,56656,33207,51437,,,,79469,51271,75852,33124,60130,36470,39006,25233,44271,50794,30008,,,,,,
569,13.652,168.17522,1-Dodecyl-2-pyrrolidinone,,,,169.14168,,,C16 H31 N O,,,,,,,,,,,,,,,,,,,,,0.922,99,628,2359,234,,,,3266,8451,2588,12534,11052,,387,456,5018,8336,16771,12980,5826,6343,6149,8463,7238,8474,10730,,,,,,
570,13.665,59.0371,(E)-(S)-6-Hydroxy-6-phenyl-hex-3-enoic acid dimethylamide,,,,44.01309,,,C14 H19 N O2,,,,,,,,,,,,,,,,,,,,,0.854,87.8,512,2361,,,,38822,66057,34621,90522,37485,31963,274,,1273,71767,82840,92457,51282,89235,62799,34066,12989,18146,23787,28063,,,,,,
572,13.689,631.22797,Peak@13.689,,,,145.06801,,,,,,,,,,,,,,,,,,,,,,,,0,,,2365,,,,83458,1017412,3779,,560280,1133381,,,,315308,772581,228571,4498501,4391558,4288099,877,405,,2735669,,,,,,,
571,13.691,589.18158,Peak@13.687,,,,134.04959,,,,,,,,,,,,,,,,,,,,,,,,0,,,2365,,,,,66593,441,531790,38806,106084,,,,,,1837,,525770,425616,710,457,632,201506,268950,,,,,,
573,13.695,415.03714,Peak@13.695,,,,386.96893,,,,,,,,,,,,,,,,,,,,,,,,0,,,2366,,,,,7280,816,56180,5678,16180,,,,2397,,,70094,61467,48010,,356,980,18271,22577,,,,,,
574,13.699,299.06232,"5-(1-Methylcyclohexyl)thiaphosphole-3,4-dicarboxylic acid dimethyl ester",,,,296.10281,,,C14 H19 O4 P S,,,,,,,,,,,,,,,,,,,,,0.524,5.2,515,2367,,,,5461,24000,,159895,23699,35885,,,,3762,,,111954,,97658,2355,,4704,91167,101321,,,,,,
575,13.704,457.1207,Peak@13.708,,,,386.96893,,,,,,,,,,,,,,,,,,,,,,,,0,,,2369,,,,,7280,,56180,5678,16180,,,,2397,,,70094,,48010,,467,980,18271,22577,,,,,,
577,13.734,194.08438,Peak@13.738,,,,280.2998,,,,,,,,,,,,,,,,,,,,,,,,0,,,2373,,,,135578,6181,6946,13294,,8974,,643,,35355,22648,59555,28178,22807,23482,22359,8252,12301,6591,535,,,,,,
576,13.737,601.23578,"p-Acetophenetide, o-amino-, 2TMS",,,,145.05005,,,C16 H30 N2 O2 Si2,,,,,,,,,,,,,,,,,,,,,0.64,33.9,520,2373,516,,,5229,12738,,51972,862,2760,,,,,9397,1667,99820,76414,83419,,,,64194,82687,,,,,,
578,13.745,264.11368,Peak@13.745,,,,145.07607,,,,,,,,,,,,,,,,,,,,,,,,0,,,2375,,,,73589,4139,74463,55657,24927,129972,,,,327519,38443,367026,,167971,342962,596098,27974,401475,717113,2290,,,,,,
579,13.774,281.14249,3-Benzyloxy-2-methyl-5-( 3'-butenyl)-4-pyridinecarboxaldehyde,,,,161.04507,,,C18 H19 N O2,,,,,,,,,,,,,,,,,,,,,0.712,50.5,549,2379,,,,,13236,,,1846,19134,,,,,1020,,53845,68525,42365,3251,2998,3636,68706,83303,,,,,,
580,13.808,221.08488,3-Butenyl adipate,,,,129.05464,,,C10 H16 O4,,,,,,,,,,,,,,,,,,,,,0.865,84.5,634,2385,,,,1116068,1333634,496203,2198601,620595,985770,12970,44695,59387,1333523,821767,1383732,2420308,2151388,1885733,885607,614804,851604,1568655,1241039,,,,,,
581,13.816,210.12829,"1H-Pyrrole, 1-methyl-3,4-bis(trimethylsilyl)-",,,,44.01309,,,C11 H23 N Si2,,,,,,,,,,,,,,,,,,,,,0.462,2.2,514,2386,,,,32886,447287,24187,884829,137769,88014,807,440,584,76801,97769,87510,471485,459403,339474,8112,,,,36848,,,,,,
583,13.822,254.24834,Hexadecanamide,,,,60.04436,,,C16 H33 N O,,,,,,,,,,,,,,,,,,,,,0.943,98.9,736,2387,203,,,47749,822728,50851,1474544,244745,247317,497,1387,2227,203550,188596,174952,878085,764949,663845,25128,6658,35643,121885,74835,,,,,,
582,13.829,230.10951,"1,3-Dimethyl-6-(o-tolyl)uracil",,,,230.10896,,,C13 H14 N2 O2,,,,,,,,,,,,,,,,,,,,,0.717,52.8,529,2387,,,,118726,4978,135934,11875,75420,326861,,,,387206,28023,615368,,61569,264824,787006,52029,845396,922731,5167,,,,,,
584,13.844,272.15649,"5-Ethenyl-1,4-dimethylnaphthalene",,,,229.10117,,,C14 H14,,,,,,,,,,,,,,,,,,,,,0.678,42.7,538,2390,,,,42012,,52052,10454,47755,124846,569,2241,876,133472,7875,237555,2246,20069,97399,283659,22862,,332977,2844,,,,,,
585,13.856,254.20341,"7-Isopropyl-1,4a-dimethyl-1,2,3,4,4a,9,10,10a-octahydrophenanthrene-1-carboxylic acid, TMS",,,,186.14026,,,C23 H36 O2 Si,,,,,,,,,,,,,,,,,,,,,0.923,94.5,723,2393,15,,,19516,,36252,4504,15901,85182,,,,94755,27632,167782,848,15232,60354,208270,,193986,229456,5819,,,,,,
586,13.863,629.21252,Peak@13.863,,,,143.05235,,,,,,,,,,,,,,,,,,,,,,,,0,,,2394,,,,61906,68392,,656950,51899,199997,,235,795,88116,27518,,330571,344517,251352,6349,,,900378,930510,,,,,,
587,13.867,343.99695,Peak@13.867,,,,134.05333,,,,,,,,,,,,,,,,,,,,,,,,0,,,2395,,,,3124,1945,1410,37525,1588,8254,,,,6806,4884,4499,,56634,58864,,,,22892,,,,,,,
588,13.868,337.15066,Peak@13.868,,,,210.12776,,,,,,,,,,,,,,,,,,,,,,,,0,,,2395,,,,106344,1894,136596,24110,56947,421968,,248,522,,13836,,3416,89368,,1135426,56929,1232176,1461115,9142,,,,,,
589,13.874,168.1877,2-Methyltricos-3-ene,,,,155.1794,,,C24 H50,,,,,,,,,,,,,,,,,,,,,0.964,99.7,825,2395,,,,3483,1907,,9590,14555,27164,6437,3153,1286,,18742,,10125,16537,10202,,,58122,36296,7857,,,,,,
590,13.889,369.12259,"1,1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15,17,17,19,19,19-docosamethyldecasiloxane",,,,222.08405,,,C22 H66 O9 Si10,,,,,,,,,,,,,,,,,,,,,0.908,97.4,593,2398,,,,12452,45758,37547,264616,,244493,,,,41354,41749,46853,1195230,1186372,1001973,54446,47175,80742,901027,1946513,,,,,,
591,13.89,359.24359,Peak@13.890,,,,165.03978,,,,,,,,,,,,,,,,,,,,,,,,0,,,2398,,,,227051,78539,9745,431060,64957,84367,,,,93023,152148,117054,518000,450601,448335,8255,3599,,141682,157485,,,,,,
592,13.896,178.03989,"Thioglycolic acid, tert-butyldimethylsilyl ester",,,,369.12198,,,C8 H18 O2 S Si,,,,,,,,,,,,,,,,,,,,,0.823,77,576,2399,1202,,,15683,53781,49531,202622,,399555,,,,,21630,23773,1699260,1554885,1197867,73019,92387,104505,1129836,2651094,,,,,,
593,13.903,534.97076,"Cyclodecasiloxane, eicosamethyl-",,,,311.09811,,,C20 H60 O10 Si10,,,,,,,,,,,,,,,,,,,,,0.908,99.4,550,2401,366,,,107574,299829,267921,1341338,91520,210038,,,3083,326043,339675,315835,1016659,2140901,1623414,150370,121378,210428,480366,,,,,,,
594,13.907,371.06543,"Disiloxane, 1,3-dimethoxy-1,1,3-trimethyl-3-(trimethylsilyl)-",,,,238.07895,,,C8 H24 O3 Si3,,,,,,,,,,,,,,,,,,,,,0.845,75.8,708,2401,,,,68343,191152,166145,836413,59904,147125,,,1753,220005,234453,206464,628113,1441023,1100778,95748,77852,147871,307949,853566,,,,,,
596,13.935,196.11262,"DL-Lactamide, N,O-dibutyl-",,,,266.19028,,,C11 H23 N O2,,,,,,,,,,,,,,,,,,,,,0.679,44.5,503,2407,955,,,11932,,18570,786,5413,44398,,,,55295,,79889,,7120,39627,138738,6977,144130,154110,,,,,,,
595,13.939,224.14392,"3-Benzoylbenzyl-1,2,3,4-tetrahydro-6,7-dimethoxyisoquinoline",,,,224.14337,,,C25 H27 N O3,,,,,,,,,,,,,,,,,,,,,0.916,97.9,622,2407,,,,38571,,53049,,17344,151945,,,,186988,1101,267454,,29062,146652,397589,21774,469262,470849,,,,,,,
597,13.956,370.29562,"Fumaric acid, 2-dimethylaminoethyl nonyl ester",,,,100.05185,,,C17 H31 N O4,,,,,,,,,,,,,,,,,,,,,0.908,98.5,569,2410,,,,146712,53486,,126564,32020,24874,245,,,,,20255,24842,136640,120785,,,,12720,32926,,,,,,
598,13.972,601.23578,"Butanedioic acid, tetrakis[(trimethylsilyl)oxy]-, bis(trimethylsilyl) ester",,,,217.08954,,,C22 H54 O8 Si6,,,,,,,,,,,,,,,,,,,,,0.901,100,505,2413,,,,16759,798,,580101,63453,160686,,460,,1826,4493,12855,2825,992,3078,,,,614715,705677,,,,,,
599,14.002,302.16702,"Phenol, 2,4-bis(1-phenylethyl)-",,,,209.09604,,,C22 H22 O,,,,,,,,,,,,,,,,,,,,,0.92,95.1,697,2418,8,,,1171343,7942,1794286,362224,536200,4116066,,,17769,10228023,237523,8397428,1595,890261,5337028,8577438,533883,10722806,15435064,214116,,,,,,
600,14.009,233.13287,"10,11-Dehydro-nt-TFA",,,,230.10898,,,C21 H18 F3 N O,,,,,,,,,,,,,,,,,,,,,0.88,89.2,614,2419,,,,89256,748,118796,7982,14398,270642,,1120,644,293142,7985,530263,,22200,100994,684485,43163,727345,839762,2315,,,,,,
601,14.013,503.10806,"Cyclodecasiloxane, eicosamethyl-",,,,238.07895,,,C20 H60 O10 Si10,,,,,,,,,,,,,,,,,,,,,0.911,98.7,581,2420,385,,,9381,5336720,73193,30078740,3214441,10184488,,,2524,10837,8124,13600,40413626,40933660,35862302,24406,10629,26361,18711900,22311000,,,,,,
602,14.02,532.99158,"Cyclodecasiloxane, eicosamethyl-",,,,476.00311,,,C20 H60 O10 Si10,,,,,,,,,,,,,,,,,,,,,0.903,99.2,531,2421,386,,,2339,153820,,943530,86346,304213,,,,6079,6913,3216,1395857,1597257,1301575,,,,698337,695753,,,,,,
603,14.022,871.27551,Peak@14.022,,,,534.97028,,,,,,,,,,,,,,,,,,,,,,,,0,,,2422,,,,,205026,,1322230,134527,412801,,,,,,,2173987,2807707,2106853,,,,930064,1159259,,,,,,
604,14.074,168.13892,15-(quinolin-2-yl)pentadec-14-yn-1-ol,,,,168.13837,,,C24 H33 N O,,,,,,,,,,,,,,,,,,,,,0.899,97.8,541,2431,,,,251555,130224,203459,246136,307944,849430,1653,2111,106374,496026,3753950,,98917,370282,347004,226632,141276,177524,205251,108454,,,,,,
605,14.083,312.31409,N-[3-(Dimethylamino)propyl]tetradecanamide,,,,70.06513,,,C19 H40 N2 O,,,,,,,,,,,,,,,,,,,,,0.95,99.5,759,2433,6,,,537591,343368,485593,570182,596590,2080956,84474,26822,197345,1517100,30259562,19075343,374261,310217,488294,528562,336847,388356,471194,272566,,,,,,
606,14.085,269.09662,Peak@14.085,,,,252.09334,,,,,,,,,,,,,,,,,,,,,,,,0,,,2433,,,,35593,,50828,10127,19147,134875,,577,790,312030,5743,272499,1480,24575,180553,305146,14723,345420,520723,7978,,,,,,
607,14.087,268.26404,"1-(2'-Bromopyridyl)-1,2,5,6-tetrahydropyridine",,,,266.24777,,,C11 H11 Br N2 O,,,,,,,,,,,,,,,,,,,,,0.701,58.4,534,2433,,,,534440,335764,587831,867318,341979,1421658,,6435,72729,1342867,4680456,3323116,546623,632052,564500,668829,323858,470069,628920,461664,,,,,,
608,14.093,302.16702,"(7'R,7''S)-2,6-Bis(1-phenylethyl)phenol",,,,209.09604,,,C22 H22 O,,,,,,,,,,,,,,,,,,,,,0.925,97.2,679,2434,,,,1120196,21567,1856555,302622,522994,4660404,,1715,16090,10002350,207941,9111939,12755,1239876,6129865,8838212,524447,11122115,17305397,199747,,,,,,
609,14.118,475.00409,"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",,,,327.00223,,,C16 H50 O7 Si8,,,,,,,,,,,,,,,,,,,,,0.889,96.2,521,2439,,,,142109,114549,157183,,,848611,,853,12712,392857,273750,346148,2166544,2276067,1495265,145210,79187,109783,941212,1034599,,,,,,
610,14.12,462.07373,Peak@14.125,,,,77.01971,,,,,,,,,,,,,,,,,,,,,,,,0,,,2440,,,,1193379,732449,1275489,1454348,1565867,3528980,22515,89388,596668,2107930,1503907,1663145,716991,826179,1085784,1322354,869879,999366,1086420,862530,,,,,,
611,14.126,369.1225,"Trisiloxane, octamethyl-",,,,98.06,,,C8 H24 O2 Si3,,,,,,,,,,,,,,,,,,,,,0.846,78.2,663,2440,,,,2565692,1384577,2020242,1981747,,8394620,93794,269333,1608873,4016886,6340250,4885075,1456368,1092123,1532486,2203331,1592159,1885628,1526609,1062232,,,,,,
612,14.131,210.12828,"Glycine, 2-cyclohexyl-N-(but-3-en-1yl)oxycarbonyl-, 3-buten-1-yl ester",,,,127.01656,,,C17 H27 N O4,,,,,,,,,,,,,,,,,,,,,0.853,87.9,507,2441,343,,,550575,298752,496700,703772,953383,2215083,17755,44120,263536,1145529,750875,,417178,438959,418405,549775,322317,522670,,301311,,,,,,
613,14.143,266.19083,"4ﬂ-Acetamido-[(ﬂ-ethoxycarbonyl)thiomethyl]-2,6-di-tert-butylphenol",,,,231.11685,,,C20 H31 N O4 S,,,,,,,,,,,,,,,,,,,,,0.899,96.4,567,2443,,,,7618,383,19809,4687,9889,39251,,,284,,,137453,,8042,25044,129381,,205340,155926,624,,,,,,
614,14.146,365.16348,Peak@14.146,,,,196.11212,,,,,,,,,,,,,,,,,,,,,,,,0,,,2444,,,,50548,2444,57371,,18601,164664,,,815,132193,,245559,,,,377060,20848,470711,448067,,,,,,,
615,14.151,299.14352,Isoxaben,,,,126.0464,,,C18 H24 N2 O4,,,,,,,,,,,,,,,,,,,,,0.964,99.5,831,2445,141,,,88080,,35024,19834,,405222,,,,,8721,782212,,97067,475681,728093,37585,921433,27443,12474,,,,,,
616,14.152,629.26654,Peak@14.152,,,,131.05234,,,,,,,,,,,,,,,,,,,,,,,,0,,,2445,,,,661356,,5387,990880,165758,374581,,400,,1219993,,1283455,2853333,2017910,2154544,,32678,104015,425580,461394,,,,,,
617,14.164,319.12161,Peak@14.164,,,,116.04679,,,,,,,,,,,,,,,,,,,,,,,,0,,,2447,,,,,31560,3447,49562,15939,105278,,,,632974,564649,446268,172023,158762,138818,10243,4229,8413,25197,35326,,,,,,
618,14.2,225.14719,"Carbonic acid, 2-dimethylaminoethyl isobutyl ester",,,,42.03383,,,C9 H19 N O3,,,,,,,,,,,,,,,,,,,,,0.952,96.9,823,2454,,,,,67319,106206,153657,75879,294492,9939,56134,52433,87676,,,32744,,,114789,64073,81949,,101434,,,,,,
620,14.217,154.12323,"Hexanamide, N-hexanoyl-N-allyl-",,,,127.07539,,,C15 H27 N O2,,,,,,,,,,,,,,,,,,,,,0.889,97,505,2457,,,,149471,242296,79757,884036,175684,130642,25595,187331,154210,250332,,175604,276838,234269,197674,73020,30707,221896,232009,108105,,,,,,
622,14.229,411.16931,Peak@14.229,,,,268.03506,,,,,,,,,,,,,,,,,,,,,,,,0,,,2459,,,,14832,4754,119309,360391,,,275,,311,15594,15814,12118,28150,175437,44487,4831,55248,101360,380530,493570,,,,,,
619,14.233,193.03522,"2,4(1H,3H)-Quinolinedione, 3-benzoyl-3-(phenylmethyl)-",,,,148.07185,,,C23 H17 N O3,,,,,,,,,,,,,,,,,,,,,0.513,0.9,549,2457,,,,4203,29852,91951,,23999,127747,,,,83500,40019,38826,17149,540277,,119712,94211,190882,151758,53081,,,,,,
621,14.235,411.16931,"1-Hydroxyanthraquinone prod, 2TMS",,,,386.96893,,,C20 H24 O3 Si2,,,,,,,,,,,,,,,,,,,,,0.593,21.8,527,2458,,,,47957,26271,,555656,191966,209869,1002,,242,65264,67904,63539,65802,,,,,,478169,,,,,,,
623,14.25,268.30048,"Carbonic acid, monoamide, N-heptyl-, methyl ester",,,,127.07542,,,C9 H19 N O2,,,,,,,,,,,,,,,,,,,,,0.879,92.7,542,2462,1114,,,193515,242296,79757,884036,175684,130642,25595,187331,154210,250332,286786,101420,276838,234269,197674,73020,30707,221896,232009,108105,,,,,,
624,14.251,503.10809,"Cyclodecasiloxane, eicosamethyl-",,,,295.10321,,,C20 H60 O10 Si10,,,,,,,,,,,,,,,,,,,,,0.934,96.2,743,2463,428,,,7396841,3996192,24543186,36833901,14353343,24808485,1696,17626,17744,7593647,7943281,7866437,9862163,76106931,49081570,15944907,18856411,23542597,9316029,29960705,,,,,,
625,14.255,668.95636,Hexamethyldiethyloctasilsesquioxane,,,,594.93695,,,C10 H28 O12 Si8,,,,,,,,,,,,,,,,,,,,,0.862,89.3,525,2463,,,,874011,465108,,4338487,1394022,2876617,,685,,988455,965530,922441,1026236,7774677,5069508,1931666,1946731,2636108,962684,3445245,,,,,,
626,14.259,666.97717,2-Amino-5-cyano-6-(4-chlorophenyl)-4-methylsulfanyl-1-(4-bromophenyl)pyridinium 3-ylphenylphosphinic acid diisopropyl ester tetrafluoroborate,,,,595.93677,,,C25 H27 B Br Cl F4 N3 O3 P S,,,,,,,,,,,,,,,,,,,,,0.903,88.5,743,2464,,,,378540,223780,1581312,1927263,807145,1403635,,,,486808,431325,434919,557451,3681600,2199929,1030553,1025943,1291982,447597,1634858,,,,,,
627,14.266,430.08844,AM3102,,,,503.10739,,,C21 H41 N O2,,,,,,,,,,,,,,,,,,,,,0.911,99.3,568,2465,237,,,8150519,4131478,27277937,40674230,14837348,27646751,,12320,25502,8727311,8895593,8833431,10364751,85318810,55731212,18282312,19936547,,8736635,34392133,,,,,,
628,14.27,199.16994,Peak@14.266,,,,143.10677,,,,,,,,,,,,,,,,,,,,,,,,0,,,2465,,,,649099,16311,,55786,93585,459318,1577,1921,7039,,1259379,,65818,89464,116692,,,,21349,71702,,,,,,
629,14.278,368.36536,"Hexanoic acid, 2-ethyl-, hexadecyl ester",,,,97.10114,,,C24 H48 O2,,,,,,,,,,,,,,,,,,,,,0.952,99.9,763,2468,,,,13209764,158155,,181405,3064541,14567078,169127,686934,634499,146786993,32373754,16233141,2787490,1764995,2352726,,90953,360662,1135439,2032904,,,,,,
630,14.285,442.12564,"Allopurinol, bis(tert-butyldimethylsilyl) deriv.",,,,171.13809,,,C17 H32 N4 O Si2,,,,,,,,,,,,,,,,,,,,,0.841,77.9,647,2470,,,,261041,417086,179106,,32972,,,7742,8663,1099617,441462,390678,,46208,49850,132403,3053,527526,,23411,,,,,,
631,14.294,127.1488,"Ethanediamide, n-dodecyl-N'-(2-thiazolyl)-",,,,127.07537,,,C17 H29 N3 O2 S,,,,,,,,,,,,,,,,,,,,,0.918,96.7,656,2470,,,,193515,241178,13928,,,452599,25595,,,846044,286786,101420,283115,751340,3969228,73020,10903,29855,94020,138472,,,,,,
632,14.331,267.2688,"(1,2-dimethyl-2-pyrrolidinyl)methanol",,,,267.26825,,,C7 H15 N O,,,,,,,,,,,,,,,,,,,,,0.689,59.1,513,2477,,,,213282,32224,4471,56810,16606,37837,,,,807071,436106,,9719,91180,58314,,,,,15648,,,,,,
633,14.339,172.07355,"1,2-Cyclohexanedicarboxylic acid, octyl 3-pentyl ester",,,,70.07767,,,C21 H38 O4,,,,,,,,,,,,,,,,,,,,,0.951,99.8,758,2478,137,,,6943504,112329,,12919637,2239170,,109557,445390,372251,61487891,312852,8119052,1341252,833668,2402126,,64087,3728437,467498,988142,,,,,,
634,14.348,98.08435,"N1-Cyclohexyl-N2,N2-dimethyl-1,2-ethanediamine, N1-acetyl-",,,,56.06208,,,C12 H24 N2 O,,,,,,,,,,,,,,,,,,,,,0.947,99.3,747,2480,802,,,,146840,330005,6418961,1164336,,7958,75510,43199,,547362,,172475,204566,720836,114952,33774,1685985,1170247,1541958,,,,,,
635,14.357,311.29498,"(6Z)-6-Ethylidene-3-(1H-indol-3-ylmethyl)-1-methyl-2,5-piperazinedione, N,N'-bis-methyl",,,,169.12228,,,C18 H21 N3 O2,,,,,,,,,,,,,,,,,,,,,0.79,72,509,2482,232,,,,34633,711,47089,9153,3521,,,,55781,107333,,16206,4168,45045,1083,,3476,2258,12895,,,,,,
636,14.37,149.06026,"1,3-Dioxolane-2-heptanenitrile, a-methyl-d-oxo-2-phenyl-",,,,106.03681,,,C17 H21 N O3,,,,,,,,,,,,,,,,,,,,,0.948,98.3,773,2484,,,,26298,24882,35425,443420,77093,73469,1112,493,,158353,2079,,73587,49584,33706,177644,57636,210769,75621,2168,,,,,,
637,14.374,279.15951,Bis(2-ethylhexyl) phthalate,,,,84.09335,,,C24 H38 O4,,,,,,,,,,,,,,,,,,,,,0.97,99.4,861,2485,50,,,296505,22128,249137,3725256,682312,,20583,14836,12364,1873665,20325224,380881,91674,85396,884063,765948,1316270,1083522,1985406,2843310,,,,,,
638,14.403,300.09967,"10,11-Dihydro-2,3,6-trimethoxydibenz(b,f)oxepin-10-one",,,,503.70078,,,C17 H16 O5,,,,,,,,,,,,,,,,,,,,,0.834,83.4,504,2490,,,,56687,72168,230311,151382,68684,70759,,,73821,81006,100536,70876,125578,113361,100098,116847,122787,113978,127759,103545,,,,,,
639,14.411,302.16702,"Phenol, 2,4-bis(1-phenylethyl)-",,,,209.09604,,,C22 H22 O,,,,,,,,,,,,,,,,,,,,,0.928,93.4,771,2491,65,,,1302728,24574,2239920,440085,467686,4967546,,4507,10321,12707632,270792,6286626,26999,1729287,11641717,8691889,460780,8814162,22938205,396684,,,,,,
640,14.421,127.07595,"2(3H)-Furanone, dihydro-4,4,5,5-tetramethyl-",,,,150.1277,,,C8 H14 O2,,,,,,,,,,,,,,,,,,,,,0.826,79.7,535,2493,,,,35102,63362,46433,112607,60770,53628,2111,23637,,44454,19413,28139,55870,84968,73330,46987,41055,66558,34258,64946,,,,,,
641,14.425,227.08636,Peak@14.421,,,,229.10133,,,,,,,,,,,,,,,,,,,,,,,,0,,,2493,,,,98546,4378,109154,6861,15496,277767,837,618,1840,432239,8252,643954,2459,72419,324400,774171,57129,1019497,948689,7496,,,,,,
642,14.431,98.1095,"stero-7methyl-4-oxo-1-phenyl-2,3,4,5,6,7-hexahydrobenzofuran",,,,164.14336,,,C15 H16 O2,,,,,,,,,,,,,,,,,,,,,0.811,74.6,563,2495,,,,25548,44882,39193,64108,44161,,1738,16181,14771,34978,12695,41887,39854,73593,65773,33529,28283,,13182,41897,,,,,,
644,14.434,189.07669,"Sulfurous acid, decyl 2-ethylhexyl ester",,,,85.10116,,,C18 H38 O3 S,,,,,,,,,,,,,,,,,,,,,0.887,93.9,554,2497,,,,306116,,879071,,333357,1481329,213232,133038,35261,2829719,4796859,849341,350110,190555,408931,2726735,1649376,2851144,1613181,760885,,,,,,
643,14.436,257.24798,6-Methylheptyl palmitate,,,,70.0777,,,C24 H48 O2,,,,,,,,,,,,,,,,,,,,,0.958,99.9,789,2496,1,,,738652,72863,,1654576,506810,5024803,58481,68233,27403,,47567898,945318,305316,190607,634720,1999682,3264098,3710485,4777419,6495522,,,,,,
